site_id,cf_Status
ST-2812,ACTIVE
ST-2817,ACTIVE
ST-2823,ACTIVE
ST-2824,ACTIVE
ST-2826,TEMPORARILY CLOSED
ST-2827,ACTIVE
ST-2828,ACTIVE
ST-2830,TEMPORARILY CLOSED
ST-2833,ACTIVE
ST-2834,ACTIVE
ST-2839,ACTIVE
ST-2840,ACTIVE
ST-2841,ACTIVE
ST-2842,ACTIVE
ST-2843,ACTIVE
ST-2844,ACTIVE
ST-2846,ACTIVE
ST-2847,ACTIVE
ST-2848,ACTIVE
ST-2849,ACTIVE
ST-2856,ACTIVE
ST-2857,ACTIVE
ST-2858,ACTIVE
ST-2859,ACTIVE
ST-2861,ACTIVE
ST-2862,ACTIVE
ST-2863,ACTIVE
ST-2864,ACTIVE
ST-2866,ACTIVE
ST-2870,ACTIVE
ST-2880,ACTIVE
ST-2882,ACTIVE
ST-2883,ACTIVE
ST-2887,ACTIVE
ST-2889,ACTIVE
ST-2890,ACTIVE
ST-2891,ACTIVE
ST-2892,ACTIVE
ST-2899,ACTIVE
ST-2903,ACTIVE
ST-2904,ACTIVE
ST-2907,ACTIVE
ST-2912,ACTIVE
ST-2921,ACTIVE
ST-2926,ACTIVE
ST-2928,ACTIVE
ST-2929,ACTIVE
ST-2930,ACTIVE
ST-2931,ACTIVE
ST-2934,ACTIVE
ST-2937,ACTIVE
ST-2938,ACTIVE
ST-2939,ACTIVE
ST-2943,ACTIVE
ST-2949,TEMPORARILY CLOSED
ST-2951,ACTIVE
