site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0366,SM Clark,10.10.21.238,MIKROTIK,RB951,Pampanga,"Bayanihan Park, SM Clark, Balibago, Angeles City Pampanga",Luzon,Angeles City,2009,patch01
ST-0368,Naguillan,10.10.14.34,MIKROTIK,RB951,Benguet,Naguillan Rd. Cor. Bokawkan Rd. Baguio City,Luzon,Baguio City,2600,patch01
ST-0375,Villamor,10.10.0.178,MIKROTIK,RB951,Metro Manila,"Lot 12 B.1 12th St. Airman's Village Airbase Area, Pasay City",Luzon,Pasay City,1300,patch01
ST-0376,TSU,10.10.35.186,MIKROTIK,RB951,Tarlac,Brgy. Cut-Cut Romulo Ave. Tarlac City,Luzon,Tarlac,2300,patch01
ST-0377,Lucena 2,10.10.12.66,MIKROTIK,RB951,Quezon,"Lot # 2771 � B Along Quezon Ave., Lucena City, Quezon",Luzon,Lucena City,4301,patch01
ST-0378,Blumentritt 1,10.10.34.150,MIKROTIK,RB951,Metro Manila,Rizal Ave. Cor. Blumentritt St. Sta. Cruz Manila,Luzon,City of Manila,1014,patch01
ST-0379,Olongapo Victory,10.10.19.126,MIKROTIK,RB951,Zambales,"West 18th ST. Corner Anonas West Bajac-Bajac, Olongapo City",Luzon,Olongapo City,2200,patch01
ST-0380,Citadella,10.10.2.230,MIKROTIK,RB951,Metro Manila,CAA RD. CORNER CITADELLA AVE. LAS PINAS CITY,Luzon,Las Pi�as,1740,patch01
ST-0381,Dongalo,10.10.20.134,MIKROTIK,RB951,Metro Manila,0423 Quirino Ave. Cor. Dimatimbangan St. Don Galo Paranaque City,Luzon,Para�aque City,1700,patch01
ST-0383,Maya Arcade,10.10.9.30,MIKROTIK,RB951,Metro Manila,"G/F MAYA ARCADE 678 EDSA, CUBAO, QUEZON CITY",Luzon,Quezon City,1109,patch01
ST-0384,One E-Com,10.10.36.82,MIKROTIK,RB951,Metro Manila,"Unit 4,5 & 6 Harbour Drive Cor. Palm Coast Ave. SM Central Business Park, Pasay City",Luzon,Pasay City,1300,patch01
ST-0386,Palico 1,10.10.6.186,MIKROTIK,RB951,Cavite,Aguinaldo Highway Palico II Imus Cavite,Luzon,Imus,4103,patch01
