site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-1206,10.10.4.174,Temporarily Closed,NCR,na
ST-1222,10.10.30.250,Active,NCR,na
ST-1223,10.10.6.26,Active,NCR,na
ST-1224,10.10.12.38,Active,NCR,na
ST-1231,172.17.1.250,Active,NCR,na
ST-1232,172.17.3.145,Active,NCR,na
ST-1233,172.17.0.72,Active,NCR,na
ST-1234,10.10.18.154,Active,NCR,na
ST-1235,10.10.23.34,Active,NCR,na
ST-1237,10.10.3.206,Active,NCR,na
ST-1238,172.17.3.81,Active,NCR,na
ST-1243,172.17.6.138,Active,NCR,na
ST-1244,10.10.0.242,Active,NCR,na
ST-1245,172.17.6.82,Active,NCR,na
ST-1248,10.10.3.190,Temporarily Closed,NCR,na
ST-1257,10.10.18.226,Active,NCR,na
ST-1260,10.10.4.166,Active,NCR,na
ST-1262,172.17.12.82,Active,NCR,na
ST-1273,10.10.21.114,Active,NCR,na
ST-1278,10.10.17.122,Active,NCR,na
ST-1279,10.10.12.2,Active,NCR,na
ST-1280,172.17.12.151,Active,NCR,na
ST-1288,10.10.4.242,Active,NCR,na
ST-1290,10.10.27.154,Active,NCR,na
ST-1292,10.8.37.42,Active,NCR,na
ST-1298,10.10.19.74,Active,NCR,na
ST-1302,10.10.5.166,Temporarily Closed,NCR,na
ST-1303,10.10.12.58,Active,NCR,na
ST-1306,172.17.6.109,Active,NCR,na
ST-1310,10.10.27.6,Temporarily Closed,NCR,na
ST-1311,10.10.32.90,Active,NCR,na
ST-1313,10.10.26.58,Active,NCR,na
ST-1315,10.10.14.170,Active,NCR,na
ST-1317,10.10.0.30,Active,NCR,na
ST-1320,172.17.0.198,Active,NCR,na
ST-1324,10.10.22.126,Active,NCR,na
ST-1331,10.10.20.182,Active,NCR,na
ST-1332,10.10.18.50,Active,NCR,na
ST-1335,172.17.12.67,Active,NCR,na
ST-1338,172.17.0.76,Active,NCR,na
ST-1340,10.10.19.118,Active,NCR,na
ST-1341,172.17.1.193,Active,NCR,na
ST-1342,10.10.19.198,Active,NCR,na
ST-1345,10.10.18.230,Active,NCR,na
ST-1347,172.17.12.5,Active,NCR,na
ST-1348,10.10.6.22,Active,NCR,na
ST-1349,10.10.20.58,Active,NCR,na
ST-1353,10.10.7.106,Active,NCR,na
ST-1360,10.10.5.138,Active,NCR,na
ST-1361,10.10.23.142,Active,NCR,na
ST-1363,10.10.22.234,Active,NCR,na
ST-1364,10.10.17.174,Active,NCR,na
ST-1365,10.10.26.102,Active,NCR,na
ST-1366,10.10.11.170,Active,NCR,na
ST-1378,10.8.37.128,Active,NCR,na
ST-1380,172.17.6.20,Active,NCR,na
ST-1384,10.10.18.42,Active,NCR,na
ST-1385,172.17.1.192,Temporarily Closed,NCR,na
ST-1391,10.10.26.22,Active,NCR,na
ST-1395,10.10.3.18,Active,NCR,na
ST-1408,10.10.21.118,Active,NCR,na
ST-1417,10.10.21.74,Active,NCR,na
ST-1418,172.17.6.89,Active,NCR,na
ST-1419,172.17.2.203,Active,NCR,na
ST-1420,10.10.34.122,Active,NCR,na
ST-1422,10.10.30.70,Active,NCR,na
ST-1424,172.17.7.172,Active,NCR,na
ST-1433,10.10.21.82,Active,NCR,na
ST-1434,172.17.12.216,Active,NCR,na
ST-1437,10.10.19.26,Active,NCR,na
ST-1438,10.10.21.6,Active,NCR,na
ST-1439,10.10.18.166,Temporarily Closed,NCR,na
ST-1443,10.10.18.98,Active,NCR,na
